"name";"id_in_source"
"Brassica juncea (L.) Czern.";"64300"
"Brassica napus L.";"64400"
"Brassica nigra (L.) W. D. J. Koch";"64500"
"Bromus ramosus Huds.";"66800"
"Brassica oleracea L.";"64600"
"Brassica rapa L.";"64700"
"Brassica repanda (Willd.) DC.";"64800"
"Briza maxima L.";"65150"
"Briza media L.";"65200"
"Bromus arvensis L.";"65300"
"Bromus benekenii (Lange) Trimen";"65400"
"Bromus carinatus Hook. & Arn.";"65430"
"Bromus catharticus Vahl";"65460"
"Bromus diandrus Roth";"65650"
"Bromus erectus Huds.";"65695"
"Callitriche obtusangula Le Gall";"73200"
"Bromus hordeaceus L.";"66000"
"Bromus inermis aggr.";"66130"
"Bromus intermedius Guss.";"66150"
"Bromus japonicus Thunb.";"66200"
"Bromus lanceolatus Roth";"66250"
"Bromus lepidus Holmb.";"66300"
"Bromus madritensis L.";"66400"
"Bromus racemosus aggr.";"66750"
"Bromus rigidus Roth";"66900"
"Bromus riparius Rehmann";"66930"
"Bromus rubens L.";"66960"
"Bromus secalinus aggr.";"67020"
"Bromus sitchensis Trin.";"67050"
"Bromus squarrosus L.";"67100"
"Bromus sterilis L.";"67200"
"Bromus tectorum L.";"67300"
"Broussonetia papyrifera (L.) Vent.";"67400"
"Brunnera macrophylla (Adams) I. M. Johnst.";"67450"
"Bupleurum baldense Turra";"68800"
"Bryonia alba L.";"67500"
"Bryonia dioica Jacq.";"67600"
"Buddleja davidii Franch.";"67700"
"Bufonia paniculata Dubois";"67800"
"Buglossoides arvensis (L.) I. M. Johnst.";"67900"
"Buglossoides purpurocaerulea (L.) I. M. Johnst.";"68000"
"Bulbocodium vernum L.";"68100"
"Bunias erucago L.";"68200"
"Bunias orientalis L.";"68300"
"Bunium bulbocastanum L.";"68400"
"Buphthalmum salicifolium L.";"68600"
"Bupleurum falcatum L.";"69000"
"Bupleurum longifolium L.";"69600"
"Bupleurum petraeum L.";"69700"
"Bupleurum praealtum L.";"69800"
"Bupleurum ranunculoides L.";"69900"
"Bupleurum rotundifolium L.";"70200"
"Bupleurum stellatum L.";"70300"
"Butomus umbellatus L.";"70400"
"Buxus sempervirens L.";"70500"
"Cabomba caroliniana A. Gray";"70550"
"Calamagrostis arundinacea (L.) Roth";"70600"
"Calamagrostis canescens (F. H. Wigg.) Roth";"70700"
"Calamagrostis epigejos (L.) Roth";"70800"
"Calamagrostis phragmitoides Hartm.";"71100"
"Calamagrostis pseudophragmites (Haller f.) Koeler";"71200"
"Calamagrostis stricta (Timm) Koeler";"71300"
"Calamagrostis varia (Schrad.) Host";"71400"
"Calamagrostis villosa (Chaix) J. F. Gmel.";"71500"
"Calamintha grandiflora (L.) Moench";"71800"
"Calamintha nepeta aggr.";"72000"
"Caldesia parnassifolia (L.) Parl.";"72300"
"Calendula arvensis L.";"72400"
"Calendula officinalis L.";"72500"
"Calepina irregularis (Asso) Thell.";"72600"
"Calla palustris L.";"72700"
"Callianthemum coriandrifolium Rchb.";"72800"
"Callistephus chinensis (L.) Nees";"72900"
"Callitriche cophocarpa Sendtn.";"73000"
"Callitriche hamulata W. D. J. Koch";"73100"
"Callitriche palustris L.";"73300"
"Callitriche platycarpa Kütz.";"73400"
"Callitriche stagnalis Scop.";"73500"
"Calluna vulgaris (L.) Hull";"73600"
"Caltha palustris L.";"73700"
"Calystegia pulchra Brummitt & Heywood";"73850"
"Calystegia sepium (L.) R. Br.";"73900"
"Calystegia silvatica (Kit.) Griseb.";"74000"
"Camelina alyssum (Mill.) Thell.";"74100"
"Camelina microcarpa DC.";"74200"
"Camelina sativa (L.) Crantz";"74400"
"Campanula alliariifolia Willd.";"74560"
"Campanula alpestris All.";"74600"
"Campanula barbata L.";"74700"
"Campanula bertolae Colla";"74750"
"Campanula bononiensis L.";"74800"
"Campanula carnica Mert. & W. D. J. Koch";"74900"
"Campanula carpatica Jacq.";"74980"
"Campanula cenisia L.";"75000"
"Campanula cervicaria L.";"75100"
"Campanula cespitosa Scop.";"75150"
"Campanula cochleariifolia Lam.";"75200"
