"name";"id_in_source"
"Alchemilla coriacea aggr. auct. helv.";"12600"
"Alchemilla coriacea aggr. sensu Heitz (Lederblättriger Frauenmantel)";"12500"
"Alchemilla coriacea Buser";"12400"
"Alchemilla coruscans";"1001283"
"Alchemilla crinita Buser";"12700"
"Alchemilla cuneata aggr. (Keilblättriger Frauenmantel)";"12800"
"Alchemilla curta";"1001311"
"Alchemilla curtiloba Buser";"12900"
"Alchemilla cuspidens Buser";"12920"
"Alchemilla cymatophylla";"1001312"
"Alchemilla decumbens aggr. sensu Heitz (Niederliegender Frauenmantel)";"13100"
"Alchemilla decumbens aggr. sensu K. Lauber & G. Wagner";"13110"
"Alchemilla decumbens aggr. sensu Landolt";"13105"
"Alchemilla decumbens Buser";"13000"
"Alchemilla delphinensis";"1001313"
"Alchemilla demissa aggr. (Niedergestreckter Frauenmantel)";"13300"
"Alchemilla demissa Buser";"13200"
"Alchemilla diversiloba";"1001314"
"Alchemilla effusa Buser";"13400"
"Alchemilla eurystoma";"1001315"
"Alchemilla exigua Buser";"13500"
"Alchemilla fallax Buser";"13600"
"Alchemilla federiciana";"1001284"
"Alchemilla filicaulis Buser";"13700"
"Alchemilla firma aggr. (Fester Frauenmantel)";"13800"
"Alchemilla fissa aggr.";"14000"
"Alchemilla fissa Günther & Schummel (Geschlitzter Frauenmantel)";"13900"
"Alchemilla fissimima Buser";"14100"
"Alchemilla flabellata Buser";"14200"
"Alchemilla flavicoma Buser";"14300"
"Alchemilla flavovirens Buser";"14400"
"Alchemilla flexicaulis Buser";"14500"
"Alchemilla floribunda Buser";"14600"
"Alchemilla frigens Buser";"14700"
"Alchemilla gaillardiana Buser";"14800"
"Alchemilla galkinae";"1001316"
"Alchemilla gemmia";"1001285"
"Alchemilla gingolphiana";"1001317"
"Alchemilla glabra aggr. (Kahler Frauenmantel)";"15000"
"Alchemilla glabra Neygenf.";"14900"
"Alchemilla glacialis Buser";"15100"
"Alchemilla glomerulans Buser";"15200"
"Alchemilla gracilis Opiz";"15280"
"Alchemilla grossidens aggr. (Grobzähniger Frauenmantel)";"15400"
"Alchemilla grossidens Buser";"15300"
"Alchemilla helvetica aggr. (Schweizer Frauenmantel)";"15600"
"Alchemilla helvetica Brügger";"15500"
"Alchemilla heteropoda aggr. (Verschiedenstieliger Frauenmantel)";"15800"
"Alchemilla heteropoda Buser";"15700"
"Alchemilla hirtipes Buser";"15900"
"Alchemilla hybrida aggr. auct. helv.";"16100"
"Alchemilla hybrida aggr. sensu Heitz (Weichhaariger Frauenmantel)";"16000"
"Alchemilla hybrida L.";"15990"
"Alchemilla impexa Buser";"16200"
"Alchemilla incisa Buser (Eingeschnittener Frauenmantel)";"16300"
"Alchemilla inconcinna Buser";"16400"
"Alchemilla infravallesia";"1001318"
"Alchemilla jaquetiana Buser";"16500"
"Alchemilla jugensis";"1001286"
"Alchemilla kerneri";"1001319"
"Alchemilla lasenii";"1001320"
"Alchemilla leptoclados Buser";"16600"
"Alchemilla leutei";"1001321"
"Alchemilla lineata Buser";"16700"
"Alchemilla longana Buser";"16800"
"Alchemilla longinodis";"1001287"
"Alchemilla longituba";"1001322"
"Alchemilla longiuscula Buser";"16900"
"Alchemilla lucida";"1001288"
"Alchemilla lunaria";"1001323"
"Alchemilla matreiensis";"1001324"
"Alchemilla maureri";"1001325"
"Alchemilla microcarpa auct.";"17000"
"Alchemilla minor Huds.";"17100"
"Alchemilla mollis (Buser) Rothm. (Weicher Frauenmantel)";"17200"
"Alchemilla monticola Opiz";"17300"
"Alchemilla multidens Buser";"17400"
